x_value,total_1,total_2
0,1000,1000
1,1000,1006
2,998,1006
3,1003,1006
4,1003,1002
5,1006,1006
6,1010,1012
7,1008,1008
8,1004,1013
9,1002,1016
10,999,1018
11,1003,1022
12,999,1021
13,994,1026
14,992,1026
15,988,1025
16,993,1029
17,993,1031
18,988,1026
19,993,1022
20,998,1023
21,993,1023
22,997,1025
23,992,1025
24,989,1025
25,984,1021
26,991,1024
27,989,1022
28,984,1024
29,986,1019
30,992,1024
31,994,1026
32,991,1026
33,987,1028
34,995,1034
35,990,1031
36,984,1030
37,991,1027
38,997,1032
39,1005,1029
40,1007,1032
41,1001,1031
42,1002,1032
43,1006,1034
44,1000,1031
45,999,1036
46,993,1036
47,992,1031
48,996,1030
49,996,1029
50,993,1035
51,999,1037
52,1005,1032
53,1013,1030
54,1007,1027
55,1003,1025
56,999,1022
57,995,1025
58,997,1026
59,992,1032
60,995,1037
61,1000,1035
62,1004,1035
63,1005,1033
64,1013,1035
65,1010,1039
66,1016,1035
67,1023,1041
68,1017,1043
69,1011,1047
70,1009,1051
71,1005,1057
72,1011,1061
73,1013,1062
74,1015,1058
75,1015,1063
76,1023,1058
77,1024,1062
78,1022,1062
79,1020,1060
80,1026,1065
81,1028,1061
82,1025,1056
83,1029,1058
84,1033,1056
85,1029,1055
86,1023,1059
87,1023,1058
88,1029,1057
89,1032,1063
90,1036,1063
91,1041,1066
92,1043,1066
93,1047,1070
94,1045,1070
95,1046,1069
96,1049,1070
97,1043,1076
98,1044,1075
99,1047,1079
100,1051,1078
101,1055,1075
102,1053,1073
103,1047,1077
104,1051,1081
105,1050,1084
106,1054,1086
107,1049,1087
108,1052,1083
109,1059,1079
110,1057,1084
111,1063,1081
112,1057,1080
113,1061,1082
114,1057,1082
115,1060,1088
116,1064,1085
117,1071,1091
118,1067,1097
119,1065,1098
120,1071,1093
121,1075,1093
122,1074,1098
123,1077,1103
124,1085,1107
125,1090,1103
126,1084,1108
127,1082,1103
128,1089,1108
129,1091,1103
130,1097,1108
131,1098,1111
132,1096,1106
133,1102,1106
134,1101,1109
135,1098,1110
136,1092,1108
137,1091,1111
138,1095,1114
139,1103,1120
140,1110,1117
141,1114,1114
142,1108,1115
143,1108,1118
144,1107,1114
145,1108,1110
146,1111,1107
147,1114,1110
148,1116,1111
149,1111,1108
150,1113,1112
151,1115,1110
152,1116,1107
153,1119,1111
154,1115,1111
155,1111,1113
156,1119,1119
157,1126,1121
158,1124,1124
159,1132,1129
160,1132,1126
161,1136,1123
162,1143,1127
163,1143,1123
164,1137,1128
165,1134,1126
166,1137,1124
167,1138,1122
168,1134,1124
169,1135,1122
170,1129,1117
171,1134,1114
172,1132,1110
173,1129,1116
174,1130,1116
175,1136,1116
176,1134,1120
177,1135,1118
178,1132,1113
179,1130,1115
180,1129,1110
181,1127,1113
182,1126,1112
183,1124,1116
184,1121,1111
185,1119,1111
186,1125,1108
187,1124,1107
188,1122,1112
189,1116,1108
190,1114,1108
191,1115,1111
192,1123,1107
193,1118,1103
194,1116,1099
195,1121,1104
196,1122,1105
197,1117,1102
198,1123,1099
199,1121,1094
200,1115,1092
201,1116,1089
202,1121,1095
203,1128,1099
204,1123,1094
205,1127,1090
206,1134,1085
207,1132,1085
208,1130,1086
209,1129,1081
210,1135,1081
211,1141,1077
212,1137,1076
213,1131,1074
214,1127,1069
215,1123,1074
216,1117,1080
217,1123,1086
218,1121,1091
219,1127,1096
220,1125,1099
221,1129,1102
222,1133,1100
223,1127,1097
224,1129,1093
225,1133,1091
226,1137,1092
227,1142,1094
228,1136,1100
229,1137,1104
230,1136,1109
231,1130,1115
232,1132,1117
233,1140,1116
234,1144,1121
235,1141,1123
236,1143,1121
237,1140,1124
238,1140,1129
239,1144,1129
240,1150,1130
241,1153,1131
242,1155,1132
243,1153,1138
244,1157,1140
245,1163,1138
246,1159,1139
247,1153,1135
248,1157,1137
249,1162,1139
250,1168,1144
251,1169,1146
252,1163,1147
253,1160,1143
254,1168,1143
255,1167,1142
256,1168,1140
257,1171,1137
258,1167,1138
259,1171,1141
260,1177,1144
261,1175,1141
262,1182,1146
263,1185,1146
264,1186,1143
265,1181,1147
266,1176,1151
267,1184,1154
268,1182,1154
269,1190,1157
270,1193,1153
271,1189,1151
272,1195,1151
273,1193,1152
274,1196,1155
275,1201,1158
276,1207,1159
277,1215,1165
278,1222,1165
279,1218,1160
280,1220,1160
281,1218,1161
282,1218,1159
283,1212,1160
284,1219,1161
285,1223,1161
286,1225,1162
287,1231,1168
288,1235,1170
289,1239,1168
290,1247,1165
291,1247,1160
292,1251,1158
293,1254,1153
294,1261,1156
295,1255,1154
296,1260,1157
